13:16:33.88843 2020-07-06	started SetCameraFocus(You)
13:23:22.01462 2020-07-06	succeeded StopSound()
13:23:22.01862 2020-07-06	succeeded SetNarration(I'd better get out of there!)
13:23:22.02262 2020-07-06	succeeded ShowNarration()
13:23:22.98962 2020-07-06	succeeded FadeOut()
13:23:23.01561 2020-07-06	input exited You position Emmilia
13:23:23.02362 2020-07-06	started SetPosition(You, CastleCrossroads)
13:23:23.56964 2020-07-06	succeeded SetPosition(You, CastleCrossroads)
13:23:23.59762 2020-07-06	started FadeIn()
13:23:23.68861 2020-07-06	input Close Narration
13:23:24.61962 2020-07-06	succeeded FadeIn()
13:23:24.68462 2020-07-06	input Close Narration
13:23:24.71437 2020-07-06	started HideNarration()
13:23:24.73837 2020-07-06	succeeded HideNarration()
13:23:24.74237 2020-07-06	input arrived You at (-1193.3, 0.1, -7.0)
13:23:26.49398 2020-07-06	input Key Inventory
13:23:26.51998 2020-07-06	started ClearList()
13:23:26.54298 2020-07-06	succeeded ClearList()
13:23:26.57398 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:26.57998 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:26.58698 2020-07-06	started ShowList(You, You)
13:23:26.62598 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:26.62898 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:26.63098 2020-07-06	succeeded ShowList(You, You)
13:23:28.71099 2020-07-06	input Touch Compass
13:23:28.73298 2020-07-06	started DisableInput()
13:23:28.75798 2020-07-06	succeeded DisableInput()
13:23:28.78398 2020-07-06	started HideList()
13:23:28.79098 2020-07-06	started FadeOut()
13:23:28.81198 2020-07-06	succeeded HideList()
13:23:29.81198 2020-07-06	succeeded FadeOut()
13:23:29.83398 2020-07-06	started SetPosition(You, Courtyard.Fountain)
13:23:30.00998 2020-07-06	input arrived You position Courtyard.Fountain
13:23:30.18498 2020-07-06	input stopped walking You at (905.2, -3.3, -6.8)
13:23:30.60098 2020-07-06	succeeded SetPosition(You, Courtyard.Fountain)
13:23:30.64098 2020-07-06	started Face(You, Courtyard.Fountain)
13:23:32.60851 2020-07-06	succeeded Face(You, Courtyard.Fountain)
13:23:32.64751 2020-07-06	started FadeIn()
13:23:33.72950 2020-07-06	succeeded FadeIn()
13:23:33.77550 2020-07-06	started EnableInput()
13:23:33.81650 2020-07-06	succeeded EnableInput()
13:23:33.82051 2020-07-06	input arrived You at (905.2, -3.3, -6.8)
13:23:40.80066 2020-07-06	input TravelLibrary Courtyard.Horse
13:23:40.80866 2020-07-06	started DisableInput()
13:23:40.81266 2020-07-06	started FadeOut()
13:23:40.84866 2020-07-06	succeeded DisableInput()
13:23:41.89418 2020-07-06	succeeded FadeOut()
13:23:41.94618 2020-07-06	started SetPosition(You, Library)
13:23:42.32764 2020-07-06	input arrived You position Emmilia
13:23:42.33364 2020-07-06	input exited You position Courtyard.Fountain
13:23:42.67364 2020-07-06	succeeded SetPosition(You, Library)
13:23:42.69764 2020-07-06	started FadeIn()
13:23:43.73076 2020-07-06	succeeded FadeIn()
13:23:43.76177 2020-07-06	started EnableInput()
13:23:43.78875 2020-07-06	succeeded EnableInput()
13:23:43.79376 2020-07-06	input arrived You at (1801.9, -5.7, 7.4)
13:23:45.31728 2020-07-06	input Key Inventory
13:23:45.34327 2020-07-06	started ClearList()
13:23:45.36728 2020-07-06	succeeded ClearList()
13:23:45.40027 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:45.40927 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:45.42527 2020-07-06	started ShowList(You, You)
13:23:45.46980 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:45.47279 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:45.47679 2020-07-06	succeeded ShowList(You, You)
13:23:51.44127 2020-07-06	input Close List
13:23:51.47927 2020-07-06	started HideList()
13:23:51.51828 2020-07-06	succeeded HideList()
13:23:53.22615 2020-07-06	input started walking You at (1801.9, -5.7, 7.4)
13:23:53.25014 2020-07-06	input started walking You at (1801.9, -5.7, 7.4)
13:23:53.54115 2020-07-06	input arrived You at (1802.0, -5.7, 7.0)
13:23:53.68015 2020-07-06	input exited You position Emmilia
13:23:53.79316 2020-07-06	input stopped walking You at (1802.2, -5.7, 6.4)
13:23:55.56915 2020-07-06	input arrived You at (1802.2, -5.7, 6.4)
13:23:58.35666 2020-07-06	input Key Inventory
13:23:58.38667 2020-07-06	started ClearList()
13:23:58.43766 2020-07-06	succeeded ClearList()
13:23:58.47966 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:58.48866 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:58.50066 2020-07-06	started ShowList(You, You)
13:23:58.55066 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:23:58.55566 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:23:58.56166 2020-07-06	succeeded ShowList(You, You)
13:24:00.99067 2020-07-06	input Touch Compass
13:24:01.02366 2020-07-06	started DisableInput()
13:24:01.05570 2020-07-06	succeeded DisableInput()
13:24:01.08970 2020-07-06	started HideList()
13:24:01.09770 2020-07-06	started FadeOut()
13:24:01.12670 2020-07-06	succeeded HideList()
13:24:02.12364 2020-07-06	succeeded FadeOut()
13:24:02.15764 2020-07-06	started SetPosition(You, Courtyard.Fountain)
13:24:02.41164 2020-07-06	input arrived You position Courtyard.Fountain
13:24:03.10864 2020-07-06	succeeded SetPosition(You, Courtyard.Fountain)
13:24:03.16664 2020-07-06	started Face(You, Courtyard.Fountain)
13:24:04.15670 2020-07-06	succeeded Face(You, Courtyard.Fountain)
13:24:04.20470 2020-07-06	started FadeIn()
13:24:05.26370 2020-07-06	succeeded FadeIn()
13:24:05.30870 2020-07-06	started EnableInput()
13:24:05.34770 2020-07-06	succeeded EnableInput()
13:24:05.35170 2020-07-06	input arrived You at (905.2, -3.3, -6.8)
13:24:09.57331 2020-07-06	input TravelGreatHall Courtyard.Horse
13:24:09.58232 2020-07-06	started DisableInput()
13:24:09.58733 2020-07-06	started FadeOut()
13:24:09.62544 2020-07-06	succeeded DisableInput()
13:24:10.63829 2020-07-06	succeeded FadeOut()
13:24:10.68929 2020-07-06	started SetPosition(You, GreatHall)
13:24:11.01708 2020-07-06	input exited You position Courtyard.Fountain
13:24:11.28608 2020-07-06	succeeded SetPosition(You, GreatHall)
13:24:11.32208 2020-07-06	started FadeIn()
13:24:12.35953 2020-07-06	succeeded FadeIn()
13:24:12.39753 2020-07-06	started EnableInput()
13:24:12.42953 2020-07-06	succeeded EnableInput()
13:24:12.45153 2020-07-06	input arrived You at (585.3, 2.7, -9.2)
13:24:13.17409 2020-07-06	input started walking You at (585.3, 2.7, -9.2)
13:24:13.21909 2020-07-06	input started walking You at (585.7, 2.7, -9.2)
13:24:14.45539 2020-07-06	input arrived You at (582.1, 2.7, -9.2)
13:24:16.47057 2020-07-06	input arrived You at (577.9, 2.7, -10.5)
13:24:18.47460 2020-07-06	input arrived You at (577.0, 6.4, -5.1)
13:24:20.47832 2020-07-06	input arrived You at (580.4, 7.6, 0.2)
13:24:20.52332 2020-07-06	input arrived You position GreatHall.LeftSupplicant
13:24:20.62732 2020-07-06	input exited You position GreatHall.LeftSupplicant
13:24:20.67332 2020-07-06	input arrived You position GreatHall.LeftSupplicant
13:24:20.90532 2020-07-06	input exited You position GreatHall.LeftSupplicant
13:24:21.58231 2020-07-06	input arrived You position GreatHall.Supplicant
13:24:21.69036 2020-07-06	input exited You position GreatHall.Supplicant
13:24:22.05236 2020-07-06	input stopped walking You at (585.0, 7.6, 2.1)
13:24:22.48588 2020-07-06	input arrived You at (585.0, 7.6, 2.1)
13:24:22.56589 2020-07-06	input Talk Lionheart The Just
13:24:22.59289 2020-07-06	started SetLeft(You)
13:24:22.60488 2020-07-06	started SetRight(Lionheart The Just)
13:24:22.60988 2020-07-06	started WalkTo(You, Lionheart The Just)
13:24:22.61488 2020-07-06	input started walking You at (585.0, 7.6, 2.1)
13:24:22.61988 2020-07-06	input started walking You at (585.0, 7.6, 2.1)
13:24:22.66488 2020-07-06	succeeded SetLeft(You)
13:24:22.66788 2020-07-06	succeeded SetRight(Lionheart The Just)
13:24:22.67188 2020-07-06	input started walking You at (585.0, 7.6, 2.1)
13:24:23.53888 2020-07-06	input arrived You position Lionheart The Just
13:24:23.54488 2020-07-06	succeeded WalkTo(You, Lionheart The Just)
13:24:23.58088 2020-07-06	started SetDialog("Valiant defender of the realms. My people and I are forever in your debt. Come! Sit next to me where you belong! We shall rule this kingdom in exchange for limitless wealth and fortune!\n[lionheartEnd|Pledge]\n[leave|Leave]")
13:24:23.60691 2020-07-06	succeeded SetDialog("Valiant defender of the realms. My people and I are forever in your debt. Come! Sit next to me where you belong! We shall rule this kingdom in exchange for limitless wealth and fortune!\n[lionheartEnd|Pledge]\n[leave|Leave]")
13:24:23.63189 2020-07-06	started ShowDialog()
13:24:23.65888 2020-07-06	succeeded ShowDialog()
13:24:24.78690 2020-07-06	input Selected lionheartEnd
13:24:24.82290 2020-07-06	started DisableInput()
13:24:24.82688 2020-07-06	started StopSound(GreatHall)
13:24:24.83088 2020-07-06	started HideDialog()
13:24:24.83488 2020-07-06	started EnableInput()
13:24:24.83888 2020-07-06	started StopSound()
13:24:24.84288 2020-07-06	started PlaySound(danger3)
13:24:24.84788 2020-07-06	started FadeOut()
13:24:24.87488 2020-07-06	succeeded DisableInput()
13:24:24.87988 2020-07-06	succeeded StopSound(GreatHall)
13:24:24.88388 2020-07-06	succeeded HideDialog()
13:24:24.88788 2020-07-06	succeeded EnableInput()
13:24:24.89188 2020-07-06	succeeded StopSound()
13:24:24.89688 2020-07-06	succeeded PlaySound(danger3)
13:24:24.90088 2020-07-06	input arrived You at (585.2, 8.0, 3.7)
13:24:25.85188 2020-07-06	succeeded FadeOut()
13:24:25.87788 2020-07-06	started SetCameraMode(track)
13:24:25.88188 2020-07-06	started SetPosition(You, GreatHall.LeftThrone)
13:24:25.90688 2020-07-06	succeeded SetCameraMode(track)
13:24:26.07292 2020-07-06	input arrived You position GreatHall.LeftThrone
13:24:26.07692 2020-07-06	input exited You position Lionheart The Just
13:24:26.16392 2020-07-06	input stopped walking You at (582.8, 8.4, 4.4)
13:24:26.39692 2020-07-06	succeeded SetPosition(You, GreatHall.LeftThrone)
13:24:26.43992 2020-07-06	started CreateItem(g1, GoldCup)
13:24:26.48492 2020-07-06	succeeded CreateItem(g1, GoldCup)
13:24:26.52092 2020-07-06	started CreateItem(g2, GoldCup)
13:24:26.55893 2020-07-06	succeeded CreateItem(g2, GoldCup)
13:24:26.58692 2020-07-06	started Unpocket(You, g1)
13:24:26.89292 2020-07-06	input arrived You at (582.8, 8.4, 4.4)
13:24:27.53192 2020-07-06	succeeded Unpocket(You, g1)
13:24:27.56292 2020-07-06	started Unpocket(Lionheart The Just, g2)
13:24:28.54145 2020-07-06	succeeded Unpocket(Lionheart The Just, g2)
13:24:28.58645 2020-07-06	started FadeIn()
13:24:29.62396 2020-07-06	succeeded FadeIn()
13:24:34.63303 2020-07-06	started SetNarration(You united the kingdom and chose to pledge allegiance to Lionheart The Just)
13:24:34.63603 2020-07-06	started ShowNarration()
13:24:34.66603 2020-07-06	succeeded SetNarration(You united the kingdom and chose to pledge allegiance to Lionheart The Just)
13:24:34.67002 2020-07-06	succeeded ShowNarration()
13:24:35.92594 2020-07-06	input Close Narration
13:24:35.95794 2020-07-06	started Quit()
13:24:36.01953 2020-07-06	succeeded Quit()
13:24:36.02452 2020-07-06	END GAME
